date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2015/04/29,5136900,2063221900,401.00,406.00,400.00,400.50,+1.50,3956
2015/04/30,9247831,3658915076,395.00,399.50,393.50,395.00,-5.50,5805
2015/05/04,17071637,6456391245,371.00,385.00,371.00,380.00,-15.00,10544
2015/05/05,9648170,3619717590,378.00,383.00,371.00,374.50,-5.50,6622
2015/05/06,8690986,3232033028,373.00,377.00,368.00,370.00,-4.50,5612
2015/05/07,9283722,3415734912,369.00,371.50,366.00,368.50,-1.50,5725
2015/05/08,8515704,3201382429,369.00,379.50,369.00,376.50,+8.00,6427
2015/05/11,6205690,2331095250,382.00,382.00,370.00,370.00,-6.50,4666
2015/05/12,5826967,2171642131,373.00,375.00,371.00,371.50,+1.50,4026
2015/05/13,15217590,5927419987,379.00,397.50,376.00,397.50,+26.00,10269
2015/05/14,12642614,5027105695,397.50,402.00,393.00,393.00,-4.50,8050
2015/05/15,5322980,2112859131,398.00,403.00,390.00,390.00,-3.00,4220
2015/05/18,7039727,2776027484,390.00,399.50,388.00,391.50,+1.50,5257
2015/05/19,6497333,2548053684,392.00,395.00,388.00,392.00,+0.50,4222
2015/05/20,8336776,3324714220,395.00,401.50,395.00,399.50,+7.50,4827
2015/05/21,7315313,2930419700,396.50,403.50,396.00,400.00,+0.50,4999
2015/05/22,8993585,3679381954,405.00,412.00,403.00,410.00,+10.00,5823
2015/05/25,6774725,2718607575,405.50,409.00,396.50,397.50,-12.50,4794
2015/05/26,3161817,1265169800,401.00,403.00,398.00,399.50,+2.00,2554
2015/05/27,4852855,1942833000,399.50,403.00,399.50,400.00,+0.50,2926
2015/05/28,9060437,3708076429,410.00,412.00,406.00,409.00,+9.00,6085
2015/05/29,11101774,4586647222,410.00,414.50,410.00,414.50,+5.50,5017
2015/06/01,5005790,2059978400,418.00,418.00,407.00,410.00,-4.50,3938
2015/06/02,5387990,2211419900,412.50,414.50,408.00,410.00, 0.00,3436
2015/06/03,3685893,1515357777,411.00,415.50,409.50,410.00, 0.00,2628
2015/06/04,6034214,2444727622,410.00,410.00,403.00,403.00,-7.00,4177
