date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2017/3/24,19735987,1789859062,90.5,91,90.5,90.6,-0.7,8622
2017/3/27,29369059,2655857538,90,91,89.8,90.5,-0.1,9238
2017/3/28,27414860,2493639344,90.9,91.3,90.6,91.2,0.7,10444
2017/3/29,23560292,2153907567,91.7,91.8,91,91.5,0.3,9941
2017/3/30,18735651,1713186220,91.5,91.6,91.2,91.4,-0.1,8275
2017/3/31,27342579,2497432289,91.4,91.6,91,91,-0.4,10014
2017/4/5,173212521,16816271593,96,98.4,95.6,98,7,65284
2017/4/6,64742520,6306242440,98.2,98.6,96.7,97.3,-0.7,28196
2017/4/7,63423890,6103584140,97,97.7,95.2,96.1,-1.2,26829
2017/4/10,38875090,3735940322,96,96.5,95.6,96.5,0.4,15449
2017/4/11,47063021,4565073597,96.9,97.6,96.5,96.9,0.4,17601
2017/4/12,40250876,3907517072,97.4,97.4,96.6,97.3,0.4,12909
2017/4/13,61732380,6081861240,97.7,99.3,97.5,98.5,1.2,24052
2017/4/14,35856577,3485429838,97.7,97.8,96.7,96.7,-1.8,19032
2017/4/17,28643429,2763636567,96.7,97.3,95.6,97.3,0.6,12638
2017/4/18,15171170,1475163192,97.9,98,96.8,97,-0.3,7499
2017/4/19,30855048,2962867825,96.5,96.5,95.8,95.8,-1.2,15150
2017/4/20,25323453,2426738681,96,96.2,95.5,96,0.2,10313
2017/4/21,14639568,1413842714,96.2,96.8,96.2,96.5,0.5,7480
2017/4/24,15423557,1495593053,97.7,97.7,96.5,97,0.5,8028
2017/4/25,35547278,3471374151,97.7,97.9,97.1,97.9,0.9,16594
2017/4/26,39698091,3904120029,98.7,98.7,98,98.2,0.3,16082
2017/4/27,26801673,2632612454,98.3,98.5,97.9,98.3,0.1,8899
2017/4/28,47126861,4647125530,98.5,99.5,98,98.8,0.5,18956
2017/5/2,146011742,14600738067,99.8,100.5,99.8,100,1.2,25883
2017/5/3,43599757,4389370200,100,101.5,100,100.5,0.5,20474
2017/5/4,27758737,2793177700,100.5,101,100,100.5,0,15032
2017/5/5,22247391,2231793100,100,101,100,100,-0.5,11274
2017/5/8,23208376,2337152395,101,101.5,100,101,1,10786
2017/5/9,106299570,11089336210,102,105.5,101.5,104,3,41750
2017/5/10,44982960,4687034453,105.5,105.5,103,104,0,22963
2017/5/11,39791573,4119466505,104,104,103,104,0,17492
2017/5/12,59017991,6092376734,104,105,102,102.5,-1.5,24904
2017/5/15,33740219,3496582918,103,104.5,102.5,104,1.5,14604
2017/5/16,37905027,3919509841,104,104,102.5,103.5,-0.5,12832
2017/5/17,27976244,2874514328,103,103.5,102,103,-0.5,9676
2017/5/18,48593144,4928110188,101,102,100.5,102,-1,19545
2017/5/19,18775852,1911102802,102,102.5,101.5,101.5,-0.5,10761
2017/5/22,19574178,2002281156,102.5,102.5,102,102.5,1,8731
2017/5/23,47835471,4966307006,103,104.5,102.5,104,1.5,16499
2017/5/24,22403683,2332369492,103.5,104.5,103.5,104,0,10159
2017/5/25,29549455,3092548112,104.5,105,104,105,1,13189
