代號,產業別,名稱,發行張數
2727,觀光事業,王品,76987
2731,觀光事業,雄獅,70000
2739,觀光事業,寒舍,111526
2748,觀光事業,雲品,75482
2801,銀行業,彰銀,10384723
2809,銀行業,京城銀,1121234
2812,銀行業,台中銀,3901694
2816,保險業,旺旺保,223608
2820,銀行業,華票,1342960
2823,保險業,中壽,4463582
2832,保險業,台產,362200
2834,銀行業,台企銀,7488583
2836,銀行業,高雄銀,1080916
2838,銀行業,聯邦銀,3086367
2841,建材營造業,台開,760943
2845,銀行業,遠東銀,3355819
2849,銀行業,安泰銀,1503206
2850,保險業,新產,315963
2851,保險業,中再保,590388
2852,保險業,第一產,301163
2855,證券業,統一證,1399837
2867,保險業,三商壽,2371971
2880,金控業,華南金,12172740
2881,金控業,富邦金,10233603
2882,金控業,國泰金,13169210
2883,金控業,開發金,14968438
2884,金控業,玉山金,12567100
2885,金控業,元大金,12137435
2886,金控業,兆豐金,13599823
2887,金控業,台新金,10908591
2888,金控業,新光金,13020394
2889,金控業,國票金,2896481
2890,金控業,永豐金,11271054
2891,金控業,中信金,19496989
2892,金控業,第一金,12835801
2897,銀行業,王道銀行,2733006
2901,貿易百貨業,欣欣,73043
2903,貿易百貨業,遠東百,1416940
2904,其他業,匯僑,69034
2905,貿易百貨業,三商行,909350
2906,貿易百貨業,高林,209111
2908,貿易百貨業,特力,509887
2910,貿易百貨業,統領,208725
2911,貿易百貨業,麗嬰房,184677
2912,貿易百貨業,統一超,1039622
2913,貿易百貨業,農林,706750
2915,貿易百貨業,潤泰全,564860
2923,建材營造業,鼎固-KY,1740296
2929,貿易百貨業,淘帝-KY,94955
2936,貿易百貨業,客思達-KY,76555
2939,貿易百貨業,凱羿-KY,45748
3002,電腦及週邊設備業,歐格,102000
3003,電子零組件業,健和興,155654
3004,鋼鐵工業,豐達,52647
3005,電腦及週邊設備業,神基,584396
3006,半導體業,晶豪科,285758
3008,光電業,大立光,134140
3010,電子通路業,華立,231390
3011,電子零組件業,今皓,112719
3013,電腦及週邊設備業,晟銘,155935
3014,半導體業,聯陽,161080
3015,電子零組件業,全漢,187261
3016,半導體業,嘉晶,277491
3017,電腦及週邊設備業,奇鋐,353310
3018,其他電子業,同開,73512
3019,光電業,亞光,281083
3021,電子零組件業,衛展,94000
3022,電腦及週邊設備業,威強電,176597
3023,電子零組件業,信邦,232777
3024,光電業,憶聲,277157
3025,通信網路業,星通,70920
3026,電子零組件業,禾伸堂,157990
3027,通信網路業,盛達,98856
3028,電子通路業,增你強,213824
3029,資訊服務業,零壹,124963
3030,其他電子業,德律,236216
3031,光電業,佰鴻,181674
3032,電子零組件業,偉訓,103285
3033,電子通路業,威健,367751
